id,value
0018A1,invisible_collision
0018A3,null_sphere
0018A7,arrow_horizontal
0018A8,camera
0018A9,cone
0018AA,cube
0018AB,cylinder
0018AC,editor_arrow
0018AD,editor_cone
0018AE,editor_sphere
0018AF,editor_volume_selection
0018B0,null_fab
0018B1,pyramid
0018B2,sphere
0018B3,stick_man
0018B9,book
0018BD,dark_smoke_large
0018C1,FXMesh-Moth_01_Single
0018C2,FXMesh-Moth_Cluster
0018C6,lever_mesh01
0018CC,null_ammo
0018CF,phoenix_embrace
0018E6,water_testing
0018FB,bow01
001903,pickaxe01
001904,pickaxe02
001A7B,tmp_statue_01
001B85,odv-flora-dead_bush_02
001B8E,odv-flora-fern01
001B90,odv-flora-flower01
001B92,odv-flora-flower03
001B93,odv-flora-flower04
001B94,odv-flora-flower05
001B95,odv-flora-flower06
001B97,odv-flora-grasslong01
001B98,odv-flora-grasslong_brown01
001B99,odv-flora-grassshort01
001B9B,odv-flora-mushroom01
001B9C,odv-flora-mushroom02
001B9D,odv-flora-mushroom03
001BAB,FOR_Flora_TwistGreen01
001BAC,FOR_Flora_TwistGreen02
001BAD,FOR_Flora_TwistGreen03
001C81,TMP_Skeleton_04
001C82,TMP_Skeleton_05
004273,artifact_whole
004274,artifact_broken
0048D1,Mage_Teleport_Spot
0048E8,FX-MagicCircle
005D3D,hammer
01162A,river_set
011BCC,CrucibleSkyDome
01319D,ODV-River_waterfall_2x_01
01388B,ODV-River_turn_right_2x_01
015538,FX-TestDarkBeam
018847,00 TEST arrow 01
019A13,dropped_heart
0202D5,35
0202D6,45
0202D7,50
0204EF,SL_TMP_Tepui_01
0204F0,SL_TMP_Tepui_02
0204F1,SL_TMP_Tepui_03
0204F2,SL_TMP_Tepui_04
02089E,SL_Temp_Ruins_Bridge_01
0259A3,FXTest_PillarOfLight_Crystal
026E7D,FXmesh-Smoke_spiral_01
026FA9,Crag_dome_01
027051,empty_fist
02705F,NPC_SK_InvisSword
02709F,Citizen_Male_Scourged
02719C,Citizen_Male
02776E,Rune_Emitter_01
02778A,FXMesh-Wisp_Lightning
0305A9,BH_Flora_OasisGrass01
030608,BH_Flora_OasisGrass02
032A17,Runic_wall
032FDC,20
032FDD,25
032FDE,30
032FDF,38
034751,QG_Massing
036A7E,hero_bow_2
037A38,FXMesh-HelixPlane
